"solar cost $/MW","battery cost $/MWh","load cost $/MW","arraysize (MW)","battery size (MWh)","load size (1 MW by definition)","array cost $","battery cost $","load cost $ (all normalized to 1 MW)","total power system cost $","total system cost $","total system cost per utilization","battery size relative to 1 MW array","load size relative to 1 MW array","annual battery utilization","annual load utilization"
200000,200000,10000.,1.4834022210535203,0.,1.,296723.1713705394,0.,10000.,296680.44421070407,306680.44421070407,2.0123725241482686e6,0.,0.6741259961777559,0.0025114155251141357,0.15239745153075263
200000,200000,12589.254117941673,1.51320618363871,0.,1.,302576.7039777933,0.,12589.254117941673,302641.236727742,315230.4908456837,2.0290707667773224e6,0.,0.6608484757809832,0.003139269406392753,0.15535707083609973
200000,200000,15848.931924611135,1.5581724381152058,0.,1.,311657.2524733957,0.,15848.931924611135,311634.48762304115,327483.4195476523,2.0496086494486604e6,0.,0.6417774923612553,0.003995433789954372,0.1597785116859965
200000,200000,19952.623149688796,1.6055388626833873,0.,1.,321107.83450612787,0.,19952.623149688796,321107.7725366775,341060.3956863663,2.0746891337815474e6,0.,0.6228438459151768,0.004737442922374435,0.1643910840101204
200000,200000,25118.8643150958,1.6725599867876306,0.,1.,334528.40785391943,0.,25118.8643150958,334511.99735752615,359630.861672622,2.105282327939837e6,0.,0.5978858802670691,0.006278538812785395,0.17082310381835838
200000,200000,31622.776601683796,1.7218636657899733,0.,1.,344128.69862572267,0.,31622.776601683796,344372.73315799463,375995.50975967845,2.1425883924139165e6,0.,0.5807660733355509,0.007648401826484075,0.1754865801994141
200000,200000,39810.717055349734,1.7824421220470326,0.,1.,355519.50423731236,0.,39810.717055349734,356488.4244094065,396299.1414647562,2.18810637411413e6,0.,0.5610280343080971,0.00947488584474887,0.18111511677543585
200000,200000,50118.723362727236,1.8467019086265233,0.,1.,365317.48314376234,0.,50118.723362727236,369340.38172530464,419459.10508803185,2.2440333033680874e6,0.,0.5415059113377674,0.012328767123287676,0.18692196076522677
200000,200000,63095.734448019335,1.9195124644465085,0.,1.,379910.9445839644,0.,63095.734448019335,383902.4928893017,446998.22733732103,2.312450809616975e6,0.,0.5209656194070873,0.015068493150684925,0.19330064253836388
200000,200000,79432.82347242816,1.9673041361964358,0.,1.,390804.24634970655,0.,79432.82347242816,393460.82723928714,472893.65071171534,2.3961553985862834e6,0.,0.5083098142280069,0.017465753424657615,0.1973551677786506
200000,200000,100000.,2.048960062957024,0.,1.,405117.92354953126,0.,100000.,409792.01259140484,509792.01259140484,2.4984874873813735e6,0.,0.48805246040609357,0.021461187214611877,0.20404025041794788
200000,200000,125892.54117941674,2.1287320445263775,0.,1.,423950.6730348821,0.,125892.54117941674,425746.4089052755,551638.9500846922,2.6233287652938464e6,0.,0.4697632107203471,0.025228310502283136,0.21028204980739484
200000,200000,158489.3192461114,2.245959454255301,0.,1.,448453.89062136994,0.,158489.3192461114,449191.8908510602,607681.2100971716,2.7746927663535397e6,0.,0.44524401280056625,0.030194063926940684,0.2190084673395308
200000,200000,199526.23149688798,2.3797047712036923,0.,1.,476930.7825141036,0.,199526.23149688798,475940.9542407385,675467.1857376264,2.957902486221407e6,0.,0.42022019374032865,0.03618721461187213,0.22836019405105765
200000,200000,251188.6431509581,2.5035330813551453,0.,1.,500694.5499027686,0.,251188.6431509581,500706.61627102905,751895.2594219871,3.180359335952389e6,0.,0.3994355047462392,0.0409817351598174,0.23641833516174832
200000,200000,316227.7660168379,2.682692530610348,0.,1.,536967.7544045475,0.,316227.7660168379,536538.5061220695,852766.2721389075,3.4484361113884947e6,0.,0.37275982565638516,0.048972602739726034,0.24729072675078373
200000,200000,398107.17055349733,2.8499232488334427,0.,1.,560144.0822363463,0.,398107.17055349733,569984.6497666886,968091.820320186,3.773837779636792e6,0.,0.3508866424418024,0.05610730593607305,0.2565271420896525
200000,200000,501187.23362727254,3.0169398653247934,0.,1.,604056.3565218821,0.,501187.23362727254,603387.9730649587,1.1045752066922314e6,4.1694624253135747e6,0.,0.33146169451154883,0.06272831050228311,0.26492029283826896
200000,200000,630957.3444801933,3.2742900911658483,0.,1.,649595.3682426667,0.,630957.3444801933,654858.0182331697,1.285815362713363e6,4.648700273378776e6,0.,0.30540971390960003,0.07117579908675797,0.2765967447023218
200000,200000,794328.2347242817,3.4947882154587684,0.07647223600205144,1.,692779.4740362989,15294.447200410288,794328.2347242817,714252.090292164,1.5085803250164457e6,5.228898525427549e6,0.021881794056585704,0.2861403719906752,0.1692351598173516,0.28850824273609216
200000,200000,1.e6,3.9273434235709446,0.04935971027471927,1.,803827.8929130338,9871.942054943855,1.e6,795340.6267691328,1.795340626769133e6,5.921017138956203e6,0.012568218500698078,0.2546250460293967,0.19526255707762563,0.3032149011961191
200000,200000,1.2589254117941675e6,4.556358566659695,0.4591442737485726,1.,905996.2549809873,91828.85474971452,1.2589254117941675e6,1.0031005680816534e6,2.2620259798758207e6,6.764343772952358e6,0.10077000460593144,0.219473508366377,0.24138127853881286,0.33440434960160803
200000,200000,1.5848931924611141e6,5.401226447121496,1.7799809041963712,1.,1.0945313881508263e6,355996.18083927425,1.5848931924611141e6,1.4362414702635733e6,3.0211346627246877e6,7.727981373599368e6,0.3295512457443783,0.18514313550636918,0.3129566210045662,0.3909345166184802
200000,200000,1.9952623149688807e6,6.700754957516529,3.924690980752281,1.,1.35496233915384e6,784938.1961504562,1.9952623149688807e6,2.125089187653762e6,4.1203515026226426e6,8.66223162913394e6,0.5857087754492177,0.14923691529388886,0.4089041095890411,0.4756685896928157
200000,200000,2.5118864315095823e6,8.825116928897469,7.130080189588063,1.,1.7471892636663863e6,1.4260160379176126e6,2.5118864315095823e6,3.1910394236971065e6,5.702925855206689e6,9.489007624775717e6,0.8079303931079848,0.11331294622573698,0.5442922374429224,0.6010034010633944
200000,200000,3.1622776601683795e6,10.67743260686628,10.351942418350474,1.,2.0981719654878406e6,2.0703884836700947e6,3.1622776601683795e6,4.205875005043351e6,7.368152665211731e6,1.0293378773700882e7,0.9695160624749348,0.09365547288558257,0.6723744292237444,0.7158147802776896
200000,200000,3.981071705534973e6,11.495711080024115,10.998457031166335,1.,2.2717739903683625e6,2.199691406233267e6,3.981071705534973e6,4.49883362223809e6,8.479905327773064e6,1.1414602705971023e7,0.9567443853280335,0.0869889642353383,0.7050228310502283,0.7428997352082339
200000,200000,5.011872336272725e6,12.042582817276006,11.385671987236973,1.,2.4132689676803118e6,2.2771343974473947e6,5.011872336272725e6,4.685650960902596e6,9.697523297175322e6,1.2791529937855361e7,0.9454510016658018,0.08303866497520976,0.7236872146118721,0.7581206739372427
200000,200000,6.309573444801937e6,12.777009895955787,11.68020601851617,1.,2.539582007171396e6,2.336041203703234e6,6.309573444801937e6,4.891443182894392e6,1.1201016627696328e7,1.4482777113880783e7,0.9141580161265445,0.07826557294258045,0.7431506849315068,0.7734025414891523
200000,200000,7.943282347242822e6,14.768396814587405,12.184495055671505,1.,2.869871335750348e6,2.436899011134301e6,7.943282347242822e6,5.390578374051781e6,1.3333860721294604e7,1.6543936735137526e7,0.8250384390834038,0.06771215674623907,0.7819063926940639,0.8059666169403883
