,solar cost $/MW,battery cost $/MWh,load cost $/MW,arraysize (MW),battery size (MWh),load size (1 MW by definition),array cost $,battery cost $,load cost $ (all normalized to 1 MW),total power system cost $,total system cost $,total system cost per utilization,battery size relative to 1 MW array,load size relative to 1 MW array,annual battery utilization,annual load utilization
0,200000,200000,10000.0,1.417999999999999,0.0,1.0,283599.9999999998,0.0,10000.0,283599.9999999998,293599.9999999998,1074422.6143592207,0.0,0.7052186177715096,0.0,0.27326304945200836
1,200000,200000,12589.254117941673,1.427999999999999,0.0,1.0,285599.9999999998,0.0,12589.254117941673,285599.9999999998,298189.2541179415,1083860.1865480363,0.0,0.7002801120448184,0.0,0.2751178222235824
2,200000,200000,15848.931924611135,1.437999999999999,0.0,1.0,287599.9999999998,0.0,15848.931924611135,287599.9999999998,303448.931924611,1095664.8572501661,0.0,0.6954102920723231,0.0,0.2769541524642753
3,200000,200000,19952.623149688796,1.447999999999999,0.0,1.0,289599.9999999998,0.0,19952.623149688796,289599.9999999998,309552.62314968865,1110433.7046289262,0.0,0.6906077348066303,0.0,0.27876731574275465
4,200000,200000,25118.8643150958,1.4589999999999987,0.0,1.0,291799.99999999977,0.0,25118.8643150958,291799.99999999977,316918.8643150956,1128901.9560100175,0.0,0.685400959561344,0.0,0.2807319649221011
5,200000,200000,31622.776601683796,1.4729999999999983,0.0,1.0,294599.99999999965,0.0,31622.776601683796,294599.99999999965,326222.77660168346,1151963.1636366132,0.0,0.6788866259334699,0.0,0.2831885488176864
6,200000,200000,39810.717055349734,1.4889999999999988,0.0,1.0,297799.99999999977,0.0,39810.717055349734,297799.99999999977,337610.7170553495,1180725.7970564356,0.0,0.6715916722632644,0.0,0.2859349036812927
7,200000,200000,50118.723362727236,1.506999999999999,0.0,1.0,301399.9999999998,0.0,50118.723362727236,301399.9999999998,351518.7233627271,1216587.8639652466,0.0,0.6635700066357005,0.0,0.28893821299270217
8,200000,200000,63095.734448019335,1.5309999999999984,0.0,1.0,306199.99999999965,0.0,63095.734448019335,306199.99999999965,369295.734448019,1261204.2636960438,0.0,0.653167864141085,0.0,0.2928119933291163
9,200000,200000,79432.82347242816,1.5589999999999984,0.0,1.0,311799.99999999965,0.0,79432.82347242816,311799.99999999965,391232.8234724278,1316577.5787156778,0.0,0.6414368184733811,0.0,0.2971589595609517
10,200000,200000,100000.0,1.5909999999999982,0.0,1.0,318199.99999999965,0.0,100000.0,318199.99999999965,418199.99999999965,1385234.12116812,0.0,0.6285355122564432,0.0,0.30189842540649087
11,200000,200000,125892.54117941674,1.6269999999999987,0.0,1.0,325399.9999999997,0.0,125892.54117941674,325399.9999999997,451292.54117941647,1470264.7400106706,0.0,0.6146281499692691,0.0,0.3069464490974198
12,200000,200000,158489.3192461114,1.6689999999999985,0.0,1.0,333799.9999999997,0.0,158489.3192461114,333799.9999999997,492289.3192461111,1575456.2973698156,0.0,0.5991611743559023,0.0,0.3124741194458872
13,200000,200000,199526.23149688798,1.7199999999999984,0.0,1.0,343999.9999999997,0.0,199526.23149688798,343999.9999999997,543526.2314968877,1705431.467843333,0.0,0.5813953488372099,0.0,0.3187030623893811
14,200000,200000,251188.6431509581,1.774999999999998,0.0,1.0,354999.9999999996,0.0,251188.6431509581,354999.9999999996,606188.6431509577,1865975.1404174955,0.0,0.5633802816901415,0.0,0.32486426534885576
15,200000,200000,316227.7660168379,1.8409999999999984,0.0,1.0,368199.9999999997,0.0,316227.7660168379,368199.9999999997,684427.7660168377,2064099.5960329773,0.0,0.5431830526887566,0.0,0.3315865994704176
16,200000,200000,398107.17055349733,1.9189999999999985,0.0,1.0,383799.9999999997,0.0,398107.17055349733,383799.9999999997,781907.170553497,2308297.5670272573,0.0,0.521104742053153,0.0,0.3387375967997388
17,200000,200000,501187.23362727254,2.0079999999999982,0.0,1.0,401599.99999999965,0.0,501187.23362727254,401599.99999999965,902787.2336272722,2609221.6540097008,0.0,0.4980079681274905,0.0,0.3459986744475775
18,200000,200000,630957.3444801933,2.1079999999999983,0.0,1.0,421599.99999999965,0.0,630957.3444801933,421599.99999999965,1052557.344480193,2980385.995267343,0.0,0.47438330170778026,0.0,0.35316141806852697
19,200000,200000,794328.2347242817,2.222999999999994,0.0,1.0,444599.99999999884,0.0,794328.2347242817,444599.99999999884,1238928.2347242804,3438131.9342646543,0.0,0.4498425551057142,0.0,0.36034924151020453
20,200000,200000,1000000.0,2.355999999999996,0.0,1.0,471199.9999999992,0.0,1000000.0,471199.9999999992,1471199.999999999,4003042.2145452155,0.0,0.424448217317488,0.0,0.3675204809617882
21,200000,200000,1258925.4117941675,2.509999999999996,0.0,1.0,501999.9999999992,0.0,1258925.4117941675,501999.9999999992,1760925.4117941665,4700494.107583455,0.0,0.3984063745019927,0.0,0.37462559711610116
22,200000,200000,1584893.1924611141,3.0749999999999944,0.24100000000000005,1.0,614999.9999999988,48200.00000000001,1584893.1924611141,663199.9999999988,2248093.192461113,5501344.033075429,0.7410749999999988,0.32520325203252093,0.43777587519025873,0.482728275398642
23,200000,200000,1995262.3149688807,4.564000000000005,0.41000000000000014,1.0,912800.000000001,82000.00000000003,1995262.3149688807,994800.000000001,2990062.3149688817,6148445.39209117,1.8712400000000027,0.21910604732690597,0.7218131659056316,0.7507800578186281
24,200000,200000,2511886.4315095823,4.564000000000005,0.44700000000000006,1.0,912800.000000001,89400.00000000001,2511886.4315095823,1002200.000000001,3514086.4315095833,6824568.162696602,2.0401080000000027,0.21910604732690597,0.7458618721461188,0.7746859417139396
25,200000,200000,3162277.6601683795,5.564000000000005,0.39400000000000013,1.0,1112800.0000000012,78800.00000000003,3162277.6601683795,1191600.0000000012,4353877.6601683805,7424223.620957739,2.192216000000003,0.17972681524083375,0.8858257229832572,0.9044145176357437
26,200000,200000,3981071.705534973,5.564000000000005,0.40200000000000014,1.0,1112800.0000000012,80400.00000000003,3981071.705534973,1193200.0000000012,5174271.705534974,8325700.75803359,2.236728000000003,0.17972681524083375,0.894187595129376,0.9107825088018119
27,200000,200000,5011872.336272725,5.564000000000005,0.40700000000000014,1.0,1112800.0000000012,81400.00000000003,5011872.336272725,1194200.0000000012,6206072.336272726,9455212.640274337,2.264548000000003,0.17972681524083375,0.8991628614916286,0.914274663041519
28,200000,200000,6309573.444801937,5.564000000000005,0.41000000000000014,1.0,1112800.0000000012,82000.00000000003,6309573.444801937,1194800.0000000012,7504373.444801938,10873363.768321773,2.281240000000003,0.17972681524083375,0.9019596651445967,0.9160860915756287
29,200000,200000,7943282.347242822,5.964000000000006,0.3730000000000001,1.0,1192800.0000000012,74600.00000000003,7943282.347242822,1267400.0000000012,9210682.347242823,12566913.580881994,2.224572000000003,0.16767270288397032,0.9275970319634703,0.938142190042449
30,200000,200000,10000000.0,6.064000000000005,0.3710000000000001,1.0,1212800.0000000012,74200.00000000001,10000000.0,1287000.0000000012,11287000.000000002,14733238.802308148,2.249744000000003,0.16490765171503943,0.9372431506849315,0.9462474416023127
31,200000,200000,12589254.117941676,6.164000000000005,0.3710000000000001,1.0,1232800.000000001,74200.00000000001,12589254.117941676,1307000.000000001,13896254.117941678,17435491.18486411,2.2868440000000025,0.16223231667748203,0.9466229071537291,0.9544483275348219
32,200000,200000,15848931.92461114,6.264000000000006,0.3690000000000001,1.0,1252800.0000000012,73800.00000000001,15848931.92461114,1326600.0000000012,17175531.92461114,20811857.794692744,2.3114160000000026,0.15964240102171123,0.954261796042618,0.9608692355427648
33,200000,200000,19952623.14968881,6.364000000000006,0.3640000000000001,1.0,1272800.0000000012,72800.00000000001,19952623.14968881,1345600.0000000012,21298223.14968881,25039021.812014863,2.316496000000003,0.15713387806411047,0.9599505327245054,0.9654474300145821
34,200000,200000,25118864.31509582,6.464000000000006,0.3590000000000001,1.0,1292800.0000000012,71800.00000000001,25118864.31509582,1364600.0000000012,26483464.31509582,30336389.849344283,2.3205760000000026,0.15470297029702956,0.9649828767123287,0.9695189544292977
35,200000,200000,31622776.601683795,7.363999999999994,0.27900000000000014,1.0,1472799.9999999988,55800.00000000003,31622776.601683795,1528599.9999999988,33151376.601683795,36699652.735553175,2.0545559999999994,0.13579576317218914,0.9815734398782344,0.9842470973435311
36,200000,200000,39810717.05534973,7.363999999999994,0.28100000000000014,1.0,1472799.9999999988,56200.00000000003,39810717.05534973,1528999.9999999988,41339717.05534973,45015881.73929095,2.0692839999999992,0.13579576317218914,0.9825437595129376,0.9847892969706381
