,solar cost $/MW,battery cost $/MWh,load cost $/MW,arraysize (MW),battery size (MWh),load size (1 MW by definition),array cost $,battery cost $,load cost $ (all normalized to 1 MW),total power system cost $,total system cost $,total system cost per utilization,battery size relative to 1 MW array,load size relative to 1 MW array,annual battery utilization,annual load utilization
0,200000,200000,10000.0,1.3869999999999991,0.0,1.0,277399.9999999998,0.0,10000.0,277399.9999999998,287399.9999999998,1485020.4615673523,0.0,0.7209805335255952,0.0,0.19353268688073558
1,200000,200000,12589.254117941673,1.4049999999999983,0.0,1.0,280999.99999999965,0.0,12589.254117941673,280999.99999999965,293589.2541179413,1498315.2104151126,0.0,0.7117437722419938,0.0,0.19594625488491274
2,200000,200000,15848.931924611135,1.4269999999999992,0.0,1.0,285399.9999999998,0.0,15848.931924611135,285399.9999999998,301248.931924611,1514826.958001924,0.0,0.7007708479327264,0.0,0.1988668938939152
3,200000,200000,19952.623149688796,1.4459999999999993,0.0,1.0,289199.9999999999,0.0,19952.623149688796,289199.9999999999,309152.6231496887,1535319.7099673469,0.0,0.691562932226833,0.0,0.20136042098766757
4,200000,200000,25118.8643150958,1.465999999999999,0.0,1.0,293199.9999999998,0.0,25118.8643150958,293199.9999999998,318318.86431509565,1560817.1558259884,0.0,0.682128240109141,0.0,0.20394372468736768
5,200000,200000,31622.776601683796,1.4899999999999987,0.0,1.0,297999.9999999997,0.0,31622.776601683796,297999.9999999997,329622.7766016835,1592473.3464198164,0.0,0.671140939597316,0.0,0.2069879394482415
6,200000,200000,39810.717055349734,1.5119999999999982,0.0,1.0,302399.99999999965,0.0,39810.717055349734,302399.99999999965,342210.7170553494,1631759.1406977482,0.0,0.6613756613756622,0.0,0.2097188908094723
7,200000,200000,50118.723362727236,1.5389999999999986,0.0,1.0,307799.9999999997,0.0,50118.723362727236,307799.9999999997,357918.723362727,1680535.7506317166,0.0,0.6497725795971416,0.0,0.2129789403338695
8,200000,200000,63095.734448019335,1.5739999999999978,0.0,1.0,314799.9999999996,0.0,63095.734448019335,314799.9999999996,377895.73444801895,1740888.1669648783,0.0,0.6353240152477773,0.0,0.21707065486397942
9,200000,200000,79432.82347242816,1.6139999999999979,0.0,1.0,322799.9999999996,0.0,79432.82347242816,322799.9999999996,402232.8234724278,1815312.9351196426,0.0,0.6195786864931855,0.0,0.22157767715455498
10,200000,200000,100000.0,1.6559999999999988,0.0,1.0,331199.99999999977,0.0,100000.0,331199.99999999977,431199.99999999977,1907178.3017978976,0.0,0.6038647342995174,0.0,0.2260931762874543
11,200000,200000,125892.54117941674,1.7079999999999986,0.0,1.0,341599.9999999997,0.0,125892.54117941674,341599.9999999997,467492.54117941647,2020335.5454162539,0.0,0.5854800936768154,0.0,0.2313935139338936
12,200000,200000,158489.3192461114,1.7729999999999981,0.0,1.0,354599.99999999965,0.0,158489.3192461114,354599.99999999965,513089.3192461111,2159354.032129999,0.0,0.564015792442189,0.0,0.2376124116803565
13,200000,200000,199526.23149688798,1.8599999999999983,0.0,1.0,371999.99999999965,0.0,199526.23149688798,371999.99999999965,571526.2314968876,2329256.7789392266,0.0,0.5376344086021511,0.0,0.2453684955066088
14,200000,200000,251188.6431509581,1.9559999999999986,0.0,1.0,391199.9999999997,0.0,251188.6431509581,391199.9999999997,642388.6431509578,2536352.359070857,0.0,0.5112474437627815,0.0,0.25327263416439677
15,200000,200000,316227.7660168379,2.0749999999999975,0.0,1.0,414999.9999999995,0.0,316227.7660168379,414999.9999999995,731227.7660168374,2788531.353564628,0.0,0.48192771084337405,0.0,0.2622268403337464
16,200000,200000,398107.17055349733,2.191999999999995,0.0,1.0,438399.99999999895,0.0,398107.17055349733,438399.99999999895,836507.1705534963,3095942.172379061,0.0,0.45620437956204485,0.0,0.27019470131468465
17,200000,200000,501187.23362727254,2.324999999999995,0.0,1.0,464999.99999999895,0.0,501187.23362727254,464999.99999999895,966187.2336272715,3471635.091765138,0.0,0.4301075268817214,0.0,0.27830898354470135
18,200000,200000,630957.3444801933,2.4769999999999968,0.0,1.0,495399.99999999936,0.0,630957.3444801933,495399.99999999936,1126357.3444801928,3930962.5932198483,0.0,0.40371417036738044,0.0,0.2865347399700373
19,200000,200000,794328.2347242817,2.661999999999997,0.0,1.0,532399.9999999994,0.0,794328.2347242817,532399.9999999994,1326728.2347242811,4492431.6330393385,0.0,0.3756574004507893,0.0,0.29532519203340396
20,200000,200000,1000000.0,2.8929999999999962,0.0,1.0,578599.9999999993,0.0,1000000.0,578599.9999999993,1578599.9999999993,5177429.124566705,0.0,0.34566194262011796,0.0,0.3049003592361317
21,200000,200000,1258925.4117941675,3.155999999999998,0.001,1.0,631199.9999999995,200.0,1258925.4117941675,631399.9999999995,1890325.411794167,6012874.549810138,0.003155999999999998,0.3168567807351079,0.2153538812785388,0.31467769089809344
22,200000,200000,1584893.1924611141,3.9399999999999955,0.11000000000000001,1.0,787999.9999999991,22000.000000000004,1584893.1924611141,809999.9999999991,2394893.1924611134,6976874.242688413,0.4333999999999995,0.2538071065989851,0.328529299847793,0.3890585236369636
23,200000,200000,1995262.3149688807,5.564000000000005,0.21700000000000008,1.0,1112800.0000000012,43400.000000000015,1995262.3149688807,1156200.0000000012,3151462.314968882,7801238.482138393,1.2073880000000017,0.17972681524083375,0.5230974124809741,0.570632943930801
