,solar cost $/MW,battery cost $/MWh,load cost $/MW,arraysize (MW),battery size (MWh),load size (1 MW by definition),array cost $,battery cost $,load cost $ (all normalized to 1 MW),total power system cost $,total system cost $,total system cost per utilization,battery size relative to 1 MW array,load size relative to 1 MW array,annual battery utilization,annual load utilization
0,200000,200000,10000.0,1.4719999999999984,0.0,1.0,294399.9999999997,0.0,10000.0,294399.9999999997,304399.9999999997,1119124.6479666054,0.0,0.6793478260869572,0.0,0.27199829844966744
1,200000,200000,12589.254117941673,1.4819999999999984,0.0,1.0,296399.9999999997,0.0,12589.254117941673,296399.9999999997,308989.25411794137,1128615.4046549585,0.0,0.6747638326585702,0.0,0.27377727864028745
2,200000,200000,15848.931924611135,1.494999999999998,0.0,1.0,298999.9999999996,0.0,15848.931924611135,298999.9999999996,314848.93192461075,1140472.517664696,0.0,0.668896321070235,0.0,0.27606884606857107
3,200000,200000,19952.623149688796,1.5089999999999988,0.0,1.0,301799.99999999977,0.0,19952.623149688796,301799.99999999977,321752.6231496886,1155270.6689768457,0.0,0.6626905235255142,0.0,0.27850843251707036
4,200000,200000,25118.8643150958,1.5239999999999982,0.0,1.0,304799.99999999965,0.0,25118.8643150958,304799.99999999965,329918.8643150955,1173727.7017874531,0.0,0.6561679790026255,0.0,0.2810863744739659
5,200000,200000,31622.776601683796,1.5399999999999987,0.0,1.0,307999.99999999977,0.0,31622.776601683796,307999.99999999977,339622.7766016836,1196748.7549736218,0.0,0.6493506493506499,0.0,0.28378786707755493
6,200000,200000,39810.717055349734,1.5589999999999984,0.0,1.0,311799.99999999965,0.0,39810.717055349734,311799.99999999965,351610.7170553494,1225440.2568657454,0.0,0.6414368184733811,0.0,0.2869260374672598
7,200000,200000,50118.723362727236,1.5799999999999983,0.0,1.0,315999.99999999965,0.0,50118.723362727236,315999.99999999965,366118.72336272686,1261153.650548998,0.0,0.632911392405064,0.0,0.2903046137188361
8,200000,200000,63095.734448019335,1.6079999999999985,0.0,1.0,321599.9999999997,0.0,63095.734448019335,321599.9999999997,384695.73444801907,1305512.364097092,0.0,0.6218905472636822,0.0,0.2946703110805689
9,200000,200000,79432.82347242816,1.6379999999999986,0.0,1.0,327599.9999999997,0.0,79432.82347242816,327599.9999999997,407032.8234724279,1360502.0864806746,0.0,0.610500610500611,0.0,0.2991783897409037
10,200000,200000,100000.0,1.6689999999999985,0.0,1.0,333799.9999999997,0.0,100000.0,333799.9999999997,433799.9999999997,1428727.0243027413,0.0,0.5991611743559023,0.0,0.3036269298620611
11,200000,200000,125892.54117941674,1.7059999999999989,0.0,1.0,341199.99999999977,0.0,125892.54117941674,341199.99999999977,467092.5411794165,1513292.574028444,0.0,0.5861664712778433,0.0,0.3086597722051843
12,200000,200000,158489.3192461114,1.7469999999999988,0.0,1.0,349399.99999999977,0.0,158489.3192461114,349399.99999999977,507889.3192461112,1618007.248037697,0.0,0.5724098454493421,0.0,0.31389804950631356
13,200000,200000,199526.23149688798,1.793999999999998,0.0,1.0,358799.9999999996,0.0,199526.23149688798,358799.9999999996,558326.2314968875,1747591.965794092,0.0,0.5574136008918623,0.0,0.3194831759501644
14,200000,200000,251188.6431509581,1.8509999999999982,0.0,1.0,370199.99999999965,0.0,251188.6431509581,370199.99999999965,621388.6431509578,1907673.762113496,0.0,0.5402485143165862,0.0,0.3257310843666091
15,200000,200000,316227.7660168379,1.9169999999999987,0.0,1.0,383399.99999999977,0.0,316227.7660168379,383399.99999999977,699627.7660168377,2105319.2071788195,0.0,0.521648408972353,0.0,0.33231434151705497
16,200000,200000,398107.17055349733,1.9959999999999987,0.0,1.0,399199.9999999997,0.0,398107.17055349733,399199.9999999997,797307.170553497,2348994.6344144596,0.0,0.5010020040080164,0.0,0.33942485813818984
17,200000,200000,501187.23362727254,2.0849999999999977,0.0,1.0,416999.99999999953,0.0,501187.23362727254,416999.99999999953,918187.2336272721,2649417.4066711045,0.0,0.47961630695443697,0.0,0.3465619389814988
18,200000,200000,630957.3444801933,2.188999999999995,0.0,1.0,437799.999999999,0.0,630957.3444801933,437799.999999999,1068757.3444801923,3019966.841497648,0.0,0.4568296025582468,0.0,0.35389704608484346
19,200000,200000,794328.2347242817,2.3099999999999947,0.0,1.0,461999.99999999895,0.0,794328.2347242817,461999.99999999895,1256328.2347242807,3476638.736435347,0.0,0.4329004329004339,0.0,0.3613628938658188
20,200000,200000,1000000.0,2.458999999999997,0.0,1.0,491799.9999999994,0.0,1000000.0,491799.9999999994,1491799.9999999995,4039273.640903033,0.0,0.4066693777958525,0.0,0.3693238271588077
21,200000,200000,1258925.4117941675,2.6229999999999953,0.0,1.0,524599.9999999991,0.0,1258925.4117941675,524599.9999999991,1783525.4117941665,4732898.6423622975,0.0,0.3812428516965314,0.0,0.37683575047023793
22,200000,200000,1584893.1924611141,3.035999999999996,1.399,1.0,607199.9999999992,279800.0,1584893.1924611141,886999.9999999992,2471893.1924611134,5563158.972145679,0.46080368906455926,0.3293807641633733,0.39062024353120245,0.4443326543134391
23,200000,200000,1995262.3149688807,5.554000000000004,10.564999999999966,1.0,1110800.0000000007,2112999.999999993,1995262.3149688807,3223799.9999999935,5219062.314968875,6259681.412741721,1.9022326251350303,0.18005041411595235,0.8094939117199391,0.8337584568354162
24,200000,200000,2511886.4315095823,5.952999999999993,11.724999999999985,1.0,1190599.9999999986,2344999.999999997,2511886.4315095823,3535599.999999996,6047486.431509579,6847510.914192911,1.9695951621031411,0.16798252981689923,0.8625190258751902,0.8831656505979255
25,200000,200000,3162277.6601683795,6.089999999999996,11.972999999999981,1.0,1217999.9999999993,2394599.9999999963,3162277.6601683795,3612599.9999999953,6774877.660168375,7579808.428556363,1.9660098522167468,0.16420361247947465,0.8752473363774733,0.8938059218811557
26,200000,200000,3981071.705534973,6.290999999999996,12.343999999999985,1.0,1258199.9999999993,2468799.999999997,3981071.705534973,3726999.9999999963,7708071.705534969,8488669.6772486,1.9621681767604502,0.15895724050230498,0.8919425418569255,0.9080423668969241
27,200000,200000,5011872.336272725,6.484999999999997,12.651999999999983,1.0,1296999.9999999993,2530399.9999999967,5011872.336272725,3827399.9999999963,8839272.33627272,9617402.645193597,1.9509637625289111,0.1542020046260602,0.9050038051750381,0.9190914285667601
28,200000,200000,6309573.444801937,6.6770000000000005,13.02399999999998,1.0,1335400.0,2604799.999999996,6309573.444801937,3940199.999999996,10249773.444801932,11019371.974471794,1.9505766062602932,0.1497678598172832,0.9178843226788432,0.9301594926232852
29,200000,200000,7943282.347242822,6.966999999999996,13.315999999999983,1.0,1393399.9999999993,2663199.9999999967,7943282.347242822,4056599.9999999963,11999882.347242817,12766617.308393238,1.9112961102339587,0.14353380221042064,0.9295091324200914,0.9399421990470145
30,200000,200000,10000000.0,7.4439999999999955,13.758999999999984,1.0,1488799.999999999,2751799.9999999967,10000000.0,4240599.999999996,14240599.999999996,14939099.117133975,1.8483342289091875,0.13433637829124134,0.9452149923896499,0.9532435582857298
31,200000,200000,12589254.117941676,8.07999999999998,14.19399999999998,1.0,1615999.999999996,2838799.999999996,12589254.117941676,4454799.999999992,17044054.117941666,17635936.863630496,1.7566831683168336,0.12376237623762407,0.9603976407914764,0.9664388260025226
32,200000,200000,15848931.92461114,8.244999999999978,14.47299999999998,1.0,1648999.9999999956,2894599.999999996,15848931.92461114,4543599.999999992,20392531.924611133,20998916.327160567,1.755366889023653,0.12128562765312342,0.9661339421613394,0.9711230621093945
33,200000,200000,19952623.14968881,8.417999999999987,14.626999999999985,1.0,1683599.9999999974,2925399.9999999967,19952623.14968881,4608999.999999994,24561623.149688803,25217979.70920272,1.7375861249703026,0.11879306248515105,0.9696632420091325,0.9739726747708344
