"solar cost $/MW","battery cost $/MWh","load cost $/MW","arraysize (MW)","battery size (MWh)","load size (1 MW by definition)","array cost $","battery cost $","load cost $ (all normalized to 1 MW)","total power system cost $","total system cost $","total system cost per utilization","battery size relative to 1 MW array","load size relative to 1 MW array","annual battery utilization","annual load utilization"
200000,200000,10000.,1.2691829879914704,0.,1.,253836.5975982941,0.,10000.,253836.5975982941,263836.5975982941,1.1073611020582162e6,0.,0.7879084493423106,0.00411910197869092,0.23825705734823946
200000,200000,12589.254117941673,1.2844082662743366,0.,1.,256881.65325486733,0.,12589.254117941673,256881.65325486733,269470.907372809,1.1180762198679177e6,0.,0.7785686422750024,0.005098934550989309,0.24101300303537676
200000,200000,15848.931924611135,1.3012151313678488,0.,1.,260243.02627356976,0.,15848.931924611135,260243.02627356976,276091.9581981809,1.131403250879685e6,0.,0.768512428032397,0.006430745814307359,0.24402613125206665
200000,200000,19952.623149688796,1.3206097844893352,0.,1.,264121.956897867,0.,19952.623149688796,264121.956897867,284074.58004755585,1.1479721590564589e6,0.,0.7572259510304088,0.008047945205479357,0.2474577260488986
200000,200000,25118.8643150958,1.339794876020904,0.,1.,267958.9752041808,0.,25118.8643150958,267958.9752041808,293077.83951927663,1.168544179522083e6,0.,0.7463829112184167,0.010007610350076024,0.2508059555259101
200000,200000,31622.776601683796,1.367084956885416,0.,1.,273416.9913770832,0.,31622.776601683796,273416.9913770832,305039.767978767,1.1940412443767753e6,0.,0.7314834348541635,0.013051750380517424,0.25546836796075767
200000,200000,39810.717055349734,1.4012779565427917,0.,1.,280255.59130855836,0.,39810.717055349734,280255.59130855836,320066.3083639081,1.2256832340071301e6,0.,0.7136342902782702,0.01775114155251134,0.2611329742330849
200000,200000,50118.723362727236,1.4134573472304304,0.,1.,282691.4694460861,0.,50118.723362727236,282691.4694460861,332810.1928088133,1.2649905014243897e6,0.,0.7074850910495667,0.01959665144596645,0.26309303701021175
200000,200000,63095.734448019335,1.4395705445561489,0.,1.,287914.10891122976,0.,63095.734448019335,287914.10891122976,351009.8433592491,1.3137748346250362e6,0.,0.6946516124420439,0.024533866057838583,0.26717656184929944
200000,200000,79432.82347242816,1.46189110986534,0.,1.,292378.221973068,0.,79432.82347242816,292378.221973068,371811.0454454962,1.374409969338223e6,0.,0.6840454759261199,0.028738584474885753,0.27052411852376396
200000,200000,100000.,1.4832928539115102,0.,1.,296658.57078230206,0.,100000.,296658.57078230206,396658.57078230206,1.4497524830581136e6,0.,0.6741757012871429,0.03327625570776249,0.2736043396494751
200000,200000,125892.54117941674,1.5187178677356226,0.,1.,303743.5735471245,0.,125892.54117941674,303743.5735471245,429636.1147265413,1.5430146822494972e6,0.,0.6584501448521045,0.040353881278538783,0.27843942100420754
200000,200000,158489.3192461114,1.5589141714734325,0.,1.,311782.8342946865,0.,158489.3192461114,311782.8342946865,470272.1535407979,1.6586557593999389e6,0.,0.6414721338089024,0.048544520547945114,0.28352607277047703
200000,200000,199526.23149688798,1.603355436334679,0.,1.,320671.0872669358,0.,199526.23149688798,320671.0872669358,520197.3187638238,1.8018775155029923e6,0.,0.623692025697079,0.05676369863013686,0.28869738053122396
200000,200000,251188.6431509581,1.6400940592824176,0.,1.,328018.8118564835,0.,251188.6431509581,328018.8118564835,579207.4550074416,1.979143820421994e6,0.,0.6097211280903762,0.06303272450532715,0.292655566023465
200000,200000,316227.7660168379,1.6950472723234091,0.0026970705303831313,1.,339009.45446468185,539.4141060766262,316227.7660168379,339548.8685707585,655776.6345875964,2.1977799331062394e6,0.0015911476773660975,0.5899540480834469,0.14943873668188734,0.2983813914711435
200000,200000,398107.17055349733,1.7674438670307189,0.009589692085888191,1.,353488.77340614377,1917.9384171776383,398107.17055349733,355406.7118233214,753513.8823768187,2.467769276928174e6,0.0054257406782591295,0.565788831347717,0.16981544901065437,0.30534211176936954
200000,200000,501187.23362727254,1.914259045825068,0.,1.,382851.8091650136,0.,501187.23362727254,382851.8091650136,884039.0427922861,2.801141864714056e6,0.,0.5223953373400351,0.09462519025875182,0.3155995252966347
200000,200000,630957.3444801933,2.0582512058986904,0.02636903229435876,1.,411650.2411797381,5273.806458871752,630957.3444801933,416924.04763860983,1.0478813921188032e6,3.2056277446026676e6,0.012811377065534282,0.4858493448876042,0.22480974124809738,0.32688804677434136
200000,200000,794328.2347242817,2.137778344830194,0.,1.,427555.66896603885,0.,794328.2347242817,427555.66896603885,1.2218839036903204e6,3.7140007237740397e6,0.,0.4677753436965566,0.11064497716894972,0.3289939864224593
200000,200000,1.e6,2.3381321220897053,0.40518149021604066,1.,467626.4244179411,81036.29804320814,1.e6,548662.7224611492,1.548662722461149e6,4.33577309430144e6,0.17329281197929472,0.42769182740034817,0.29514840182648394,0.3571826036045511
200000,200000,1.2589254117941675e6,2.640983104343769,1.5839509035436041,1.,528196.6208687538,316790.1807087208,1.2589254117941675e6,844986.8015774746,2.103912213371642e6,5.080247170568604e6,0.5997580601475238,0.37864687523189583,0.3687214611872146,0.41413579747856294
200000,200000,1.5848931924611141e6,3.2374275536255777,3.389535142111461,1.,647485.5107251155,677907.0284222922,1.5848931924611141e6,1.3253925391474077e6,2.910285731608522e6,5.812697097435812e6,1.0469840902896927,0.3088872209295017,0.4653348554033485,0.5006773418302415
200000,200000,1.9952623149688807e6,3.6689263139521295,4.726669586423796,1.,733785.2627904259,945333.9172847592,1.9952623149688807e6,1.6791191800751851e6,3.6743814950440656e6,6.54083024344442e6,1.2882977694180715,0.27255930330277206,0.5305555555555554,0.5617607181789701
200000,200000,2.5118864315095823e6,4.561962377015499,8.268259398688464,1.,912392.4754030998,1.653651879737693e6,2.5118864315095823e6,2.5660443551407927e6,5.0779307866503745e6,7.14424637577038e6,1.8124348066407503,0.2192039121230575,0.6857020547945205,0.7107720702175266
200000,200000,3.1622776601683795e6,5.240560916634447,10.590701519107263,1.,1.0481121833268894e6,2.1181403038214524e6,3.1622776601683795e6,3.1662524871483417e6,6.328530147316721e6,7.822792185601503e6,2.0209099154807157,0.19081926837751795,0.7871194824961948,0.8089861007639836
200000,200000,3.981071705534973e6,5.978722936790959,13.483854099259007,1.,1.1957445873581918e6,2.6967708198518013e6,3.981071705534973e6,3.8925154072099933e6,7.8735871127449665e6,8.516870871178932e6,2.2553067338652055,0.1672597995545757,0.9101217656012176,0.9244694714568427
200000,200000,5.011872336272725e6,6.3480461553156795,13.856945354915913,1.,1.269609231063136e6,2.7713890709831826e6,5.011872336272725e6,4.0409983020463185e6,9.052870638319043e6,9.61402889856398e6,2.1828677700007724,0.15752878531965736,0.9304984779299847,0.9416313112675629
200000,200000,6.309573444801937e6,6.479300823191151,14.051388569313502,1.,1.29586016463823e6,2.8102777138627004e6,6.309573444801937e6,4.1061378785009305e6,1.0415711323302867e7,1.0987303679836644e7,2.1686581550620128,0.15433764032389613,0.9384227549467276,0.9479770129970345
200000,200000,7.943282347242822e6,6.787114629433598,14.362002243525003,1.,1.3574229258867195e6,2.872400448705001e6,7.943282347242822e6,4.22982337459172e6,1.2173105721834542e7,1.2698279070320504e7,2.1160689081692365,0.14733801543049121,0.9511700913242009,0.9586421635894392
200000,200000,1.e7,6.967304054382482,14.455613732425979,1.,1.3934608108764964e6,2.8911227464851956e6,1.e7,4.284583557361692e6,1.4284583557361692e7,1.483686660315799e7,2.0747786546409297,0.1435275383698797,0.9562309741248097,0.9627763017240617
200000,200000,1.2589254117941676e7,7.239089134055527,14.791397852770208,1.,1.4478178268111052e6,2.958279570554042e6,1.2589254117941676e7,4.406097397365147e6,1.6995351515306823e7,1.7513319986176774e7,2.0432678171050065,0.13813892624910587,0.9661624809741248,0.9704243129641449
200000,200000,1.584893192461114e7,7.603305341856289,14.786459056096822,1.,1.5206610683712577e6,2.9572918112193644e6,1.584893192461114e7,4.477952879590622e6,2.0326884804201763e7,2.086686342866394e7,1.9447409240159255,0.13152174679806528,0.9704337899543379,0.9741226741475468
200000,200000,1.995262314968881e7,7.818945520606309,14.977797183194626,1.,1.563789104121262e6,2.995559436638925e6,1.995262314968881e7,4.559348540760187e6,2.4511971690449e7,2.5068680166529022e7,1.9155776368720874,0.12789448364419048,0.9751807458143075,0.9777926690842176
