"solar cost $/MW","battery cost $/MWh","load cost $/MW","arraysize (MW)","battery size (MWh)","load size (1 MW by definition)","array cost $","battery cost $","load cost $ (all normalized to 1 MW)","total power system cost $","total system cost $","total system cost per utilization","battery size relative to 1 MW array","load size relative to 1 MW array","annual battery utilization","annual load utilization"
200000,200000,10000.,1.3122443613702839,0.,1.,262448.8722740568,0.,10000.,262448.8722740568,272448.8722740568,1.6101182567715177e6,0.,0.7620531887489086,0.002673135464231313,0.16921047328557706
200000,200000,12589.254117941673,1.326933808150985,0.,1.,265386.761630197,0.,12589.254117941673,265386.761630197,277976.01574813866,1.6252052520843826e6,0.,0.7536170936766238,0.0033295281582952363,0.1710405595795514
200000,200000,15848.931924611135,1.3565137243491976,0.,1.,271302.7448698395,0.,15848.931924611135,271302.7448698395,287151.6767944507,1.6438149982762022e6,0.,0.7371838427066125,0.004394977168949654,0.17468612775499326
200000,200000,19952.623149688796,1.3799656427681757,0.,1.,275993.12855363515,0.,19952.623149688796,275993.12855363515,295945.751703324,1.6669205417910984e6,0.,0.7246557225830823,0.005612633181126259,0.17754040716621777
200000,200000,25118.8643150958,1.4068487633758089,0.,1.,281369.75267516176,0.,25118.8643150958,281369.75267516176,306488.6169902576,1.6955372020386707e6,0.,0.7108084579044918,0.007220319634703154,0.18076195356949026
200000,200000,31622.776601683796,1.4216653700144704,0.,1.,284333.07400289405,0.,31622.776601683796,284333.07400289405,315955.85060457786,1.731209926430756e6,0.,0.7034004070801989,0.008152587519025811,0.18250579885247398
200000,200000,39810.717055349734,1.4505286555442771,0.,1.,290105.7311088554,0.,39810.717055349734,290105.7311088554,329916.4481642051,1.7753512495060202e6,0.,0.6894038226530405,0.01118721461187211,0.18583164782518513
200000,200000,50118.723362727236,1.485081326482296,0.,1.,297016.2652964592,0.,50118.723362727236,297016.2652964592,347134.9886591864,1.8301403955085163e6,0.,0.6733637964250042,0.014326484018264751,0.1896766988538782
200000,200000,63095.734448019335,1.5264436889970343,0.,1.,305288.73779940687,0.,63095.734448019335,305288.73779940687,368384.4722474262,1.8979506124668166e6,0.,0.6551175174087558,0.017380136986301253,0.19409592105699064
200000,200000,79432.82347242816,1.5506469658213446,0.,1.,310129.3931642689,0.,79432.82347242816,310129.3931642689,389562.21663669706,1.9815105332478103e6,0.,0.6448921140927273,0.01989155251141539,0.1965986100503751
200000,200000,100000.,1.5979258150739997,0.,1.,319585.16301479994,0.,100000.,319585.16301479994,419585.16301479994,2.084209722351798e6,0.,0.625811280202448,0.02323059360730584,0.2013161912234748
200000,200000,125892.54117941674,1.669001291521899,0.,1.,333800.2583043798,0.,125892.54117941674,333800.2583043798,459692.7994837966,2.2102048302113567e6,0.,0.5991607107075021,0.02932838660578374,0.20798651473394764
200000,200000,158489.3192461114,1.7321477934289176,0.,1.,346429.55868578353,0.,158489.3192461114,346429.55868578353,504918.87793189497,2.3646194396142354e6,0.,0.577317942379746,0.03413242009132411,0.21353071427606446
200000,200000,199526.23149688798,1.8197315335584128,0.,1.,363946.3067116825,0.,199526.23149688798,363946.3067116825,563472.5382085706,2.5532669769264623e6,0.,0.5495316103274529,0.039716514459665064,0.22068688597808134
200000,200000,251188.6431509581,1.9105187523252685,0.,1.,382103.7504650537,0.,251188.6431509581,382103.7504650537,633292.3936160118,2.783404756795361e6,0.,0.5234180500887062,0.04518645357686446,0.2275243627682613
200000,200000,316227.7660168379,2.0367672049392844,0.,1.,407353.4409878569,0.,316227.7660168379,407353.4409878569,723581.2070046947,3.063409600332378e6,0.,0.490974126829487,0.05272070015220687,0.23620125984007712
200000,200000,398107.17055349733,2.154994952852219,0.,1.,430998.99057044386,0.,398107.17055349733,430998.99057044386,829106.1611239412,3.405073156674767e6,0.,0.46403820977699334,0.05983637747336368,0.24349143850219274
200000,200000,501187.23362727254,2.3226271972124892,0.,1.,464525.43944249785,0.,501187.23362727254,464525.43944249785,965712.6730697704,3.8209956651454624e6,0.,0.4305469259983497,0.06726598173515974,0.25273848957193373
200000,200000,630957.3444801933,2.63258804459858,0.27442945708074207,1.,526517.608919716,54885.89141614841,630957.3444801933,581403.5003358644,1.2123608448160577e6,4.388144595189466e6,0.10424322090340093,0.37985434221345526,0.19240867579908671,0.2762809698990131
200000,200000,794328.2347242817,2.796003409878841,0.05141965691535055,1.,559200.6819757682,10283.93138307011,794328.2347242817,569484.6133588383,1.3638128480831198e6,4.937149025679411e6,0.018390412806248587,0.3576533549518571,0.1850837138508371,0.2762348960887286
200000,200000,1.e6,3.0624022216981337,0.5781718339598599,1.,612480.4443396267,115634.36679197199,1.e6,728114.8111315987,1.7281148111315987e6,5.721952916086503e6,0.18879683075701847,0.32654103791940486,0.2347983257229832,0.30201486039377146
200000,200000,1.2589254117941675e6,3.5664491005588856,1.229122427508497,1.,713289.8201117772,245824.4855016994,1.2589254117941675e6,959114.3056134766,2.218039717407644e6,6.574303027933105e6,0.34463478739003617,0.2803909355788349,0.2816400304414003,0.337380207146456
200000,200000,1.5848931924611141e6,4.4820872218008,3.114297904027651,1.,896417.4443601599,622859.5808055302,1.5848931924611141e6,1.51927702516569e6,3.1041702176268045e6,7.459320132560583e6,0.6948320614734484,0.22311033911522654,0.3715753424657534,0.41614653379425703
200000,200000,1.9952623149688807e6,5.131462664492781,4.547026489300851,1.,1.0262925328985562e6,909405.2978601702,1.9952623149688807e6,1.9356978307587265e6,3.9309601457276074e6,8.324696555675784e6,0.8861072927148154,0.194876210815975,0.43438926940639266,0.4722046166412487
200000,200000,2.5118864315095823e6,6.022937215527171,6.369089182267807,1.,1.2045874431054343e6,1.2738178364535614e6,2.5118864315095823e6,2.4784052795589957e6,4.990291711068578e6,9.181259262653247e6,1.0574722854238385,0.16603194823648396,0.5134417808219178,0.5435302030264701
200000,200000,3.1622776601683795e6,7.294739235561209,9.700073555257168,1.,1.4589478471122417e6,1.9400147110514336e6,3.1622776601683795e6,3.3989625581636755e6,6.561240218332055e6,9.905617982326228e6,1.3297354767625096,0.13708509210652636,0.6389174277016743,0.6623756569291013
200000,200000,3.981071705534973e6,8.843348003434071,12.483395994925317,1.,1.7686696006868144e6,2.4966791989850635e6,3.981071705534973e6,4.265348799671878e6,8.246420505206851e6,1.0711108931216152e7,1.4116142427141545,0.11307934501861483,0.7540525114155251,0.7698941872557861
200000,200000,5.011872336272725e6,9.893785476122552,13.919443836312302,1.,1.9787570952245104e6,2.7838887672624607e6,5.011872336272725e6,4.762645862486972e6,9.774518198759697e6,1.1914746230904764e7,1.4068875730027892,0.10107354787642994,0.8103025114155251,0.8203714967429445
200000,200000,6.309573444801937e6,10.469832737452261,14.248331408606141,1.,2.0939665474904522e6,2.8496662817212283e6,6.309573444801937e6,4.94363282921168e6,1.1253206274013616e7,1.3467471616513845e7,1.3608938906576404,0.09551250961467996,0.8276160578386605,0.8355841834643193
200000,200000,7.943282347242822e6,11.031286208117605,14.43761894935858,1.,2.206257241623521e6,2.887523789871716e6,7.943282347242822e6,5.093781031495237e6,1.3037063378738059e7,1.5397097985631593e7,1.3087883567678946,0.09065126052700263,0.8398782343987823,0.8467221154859251
200000,200000,1.e7,11.74234651275057,14.789862384491544,1.,2.348469302550114e6,2.957972476898309e6,1.e7,5.306441779448424e6,1.5306441779448424e7,1.7793745839135423e7,1.2595321019041459,0.0851618540565242,0.8542713089802131,0.8602147022794693
200000,200000,1.2589254117941676e7,12.680939751774703,15.205192257908193,1.,2.5361879503549407e6,3.041038451581639e6,1.2589254117941676e7,5.5772264019365795e6,1.8166480519878253e7,2.0769606122799404e7,1.1990587886658968,0.07885850887825956,0.8695871385083713,0.874666587920335
200000,200000,1.584893192461114e7,13.655889699495672,16.002145330452525,1.,2.7311779398991344e6,3.200429066090505e6,1.584893192461114e7,5.931607005989639e6,2.1780538930600777e7,2.4440834415872447e7,1.171812725687401,0.07322847665040318,0.8869387366818874,0.8911536553946778
200000,200000,1.995262314968881e7,14.490721172721111,16.346447838417905,1.,2.8981442345442222e6,3.2692895676835813e6,1.995262314968881e7,6.1674338022278035e6,2.6120056951916613e7,2.9006892023568455e7,1.1280630993846057,0.06900967785388813,0.8967085235920852,0.9004776151369043
200000,200000,2.511886431509582e7,15.199922558836912,16.987126077234063,1.,3.0399845117673823e6,3.3974252154468126e6,2.511886431509582e7,6.437409727214195e6,3.1556274042310014e7,3.469230609098935e7,1.1175797778889411,0.06578980887100778,0.9066495433789954,0.9096043935374518
200000,200000,3.1622776601683795e7,16.242469164634915,17.90783359945985,1.,3.248493832926983e6,3.5815667198919696e6,3.1622776601683795e7,6.830060552818952e6,3.845283715450275e7,4.180140865187588e7,1.1025314820021928,0.06156699390123036,0.9175989345509894,0.9198933336132235
200000,200000,3.981071705534973e7,16.590806240114897,23.835665046258026,1.,3.3181612480229796e6,4.767133009251605e6,3.981071705534973e7,8.085294257274585e6,4.789601131262431e7,5.0678202547688305e7,1.4366791282647728,0.06027434625703124,0.9437690258751903,0.9451008304320592
200000,200000,5.011872336272725e7,19.80279308416213,23.756718322586806,1.,3.960558616832426e6,4.751343664517362e6,5.011872336272725e7,8.711902281349787e6,5.883062564407703e7,6.151551445982471e7,1.1996650281412549,0.05049792702221283,0.955003805175038,0.9563542816909846
200000,200000,6.309573444801936e7,19.62404209345037,28.64594619892384,1.,3.9248084186900742e6,5.729189239784768e6,6.309573444801936e7,9.653997658474842e6,7.27497321064942e7,7.508891688152768e7,1.4597372988964685,0.05095790129464487,0.9677130898021309,0.9688478024163785
200000,200000,7.943282347242822e7,21.93770191130477,26.04421005407971,1.,4.387540382260954e6,5.208842010815942e6,7.943282347242822e7,9.596382393076897e6,8.902920586550511e7,9.197578120976411e7,1.1871895314913912,0.045583626035354576,0.9667808219178082,0.9679635736114173
200000,200000,1.e8,22.85139989836579,26.122756111375242,1.,4.570279979673158e6,5.2245512222750485e6,1.e8,9.794831201948207e6,1.0979483120194821e8,1.1319866255019589e8,1.1431578033538068,0.0437609951446132,0.9688356164383561,0.9699304632089772
