"solar cost $/MW","battery cost $/MWh","load cost $/MW","arraysize (MW)","battery size (MWh)","load size (1 MW by definition)","array cost $","battery cost $","load cost $ (all normalized to 1 MW)","total power system cost $","total system cost $","total system cost per utilization","battery size relative to 1 MW array","load size relative to 1 MW array","annual battery utilization","annual load utilization"
200000,200000,1000,1.0432549432415543,0.,1.,208650.98864831086,0.,1000,208650.98864831086,209650.98864831086,1.0524683330610136e6,0.,0.9585384727656746,0.000047564687975509834,0.19919933176379662
200000,200000,10000.,1.2132954902877477,0.,1.,242659.09805754956,0.,10000.,242659.09805754956,252659.09805754956,1.0919150283181148e6,0.,0.8242015304638096,0.004100076103500716,0.23139080560757766
200000,200000,12589.254117941673,1.2293191616083294,0.,1.,245863.8323216659,0.,12589.254117941673,245863.8323216659,258453.08643960755,1.1029412436093867e6,0.,0.8134584013899945,0.005251141552511274,0.23433078410760766
200000,200000,15848.931924611135,1.2436682579442608,0.,1.,248733.65158885217,0.,15848.931924611135,248733.65158885217,264582.5835134633,1.1166650678153106e6,0.,0.8040729459904077,0.006516362252663499,0.23693996627932815
200000,200000,19952.623149688796,1.2632953641524718,0.,1.,252659.07283049435,0.,19952.623149688796,252659.07283049435,272611.69598018314,1.1337069312678808e6,0.,0.7915805189951653,0.008847031963470253,0.24046046510036584
200000,200000,25118.8643150958,1.2855184923821399,0.,1.,257103.698476428,0.,25118.8643150958,257103.698476428,282222.5627915238,1.15493241152778e6,0.,0.7778962386973853,0.01140601217656001,0.24436283887659815
200000,200000,31622.776601683796,1.3001197911072027,0.,1.,260023.95822144052,0.,31622.776601683796,260023.95822144052,291646.7348231243,1.1813716280112106e6,0.,0.769159893449806,0.013812785388127802,0.24687128750002174
200000,200000,39810.717055349734,1.3131812981644655,0.,1.,262636.2596328931,0.,39810.717055349734,262636.2596328931,302446.9766882428,1.2142964481278642e6,0.,0.7615094742803427,0.01621004566210038,0.2490717790985381
200000,200000,50118.723362727236,1.3263881735992409,0.,1.,265277.63471984817,0.,50118.723362727236,265277.63471984817,315396.3580825754,1.2553335061631498e6,0.,0.7539271081454494,0.01899733637747325,0.25124507275087804
200000,200000,63095.734448019335,1.3507568326414348,0.,1.,270151.36652828695,0.,63095.734448019335,270151.36652828695,333247.1009763063,1.3062831819092776e6,0.,0.7403257017360245,0.02452435312024348,0.2551109174422875
200000,200000,79432.82347242816,1.3736441263931305,0.,1.,274728.8252786261,0.,79432.82347242816,274728.8252786261,354161.6487510543,1.369677863366056e6,0.,0.7279905914392595,0.029214231354642184,0.2585729522419843
200000,200000,100000.,1.403006252697753,0.,1.,280601.25053955056,0.,100000.,280601.25053955056,380601.25053955056,1.448288034376264e6,0.,0.712755198401406,0.035226407914763946,0.26279389286224725
200000,200000,125892.54117941674,1.4278439710691748,0.,1.,285568.794213835,0.,125892.54117941674,285568.794213835,411461.33539325173,1.5458126747272294e6,0.,0.7003566357822671,0.0400019025875189,0.26617800599018715
200000,200000,158489.3192461114,1.4667420840141963,0.,1.,293348.41680283926,0.,158489.3192461114,293348.41680283926,451837.7360489507,1.6664575722521564e6,0.,0.6817831239035487,0.04775494672754943,0.271136657525765
200000,200000,199526.23149688798,1.5186837925467689,0.,1.,303736.7585093538,0.,199526.23149688798,303736.7585093538,503262.9900062418,1.8157329875667277e6,0.,0.6584649187063767,0.056992009132419974,0.2771679500523185
200000,200000,251188.6431509581,1.5732840166567787,0.,1.,314656.80333135574,0.,251188.6431509581,314656.80333135574,565845.4464823138,2.0003401501945208e6,0.,0.6356131438524338,0.06520167427701662,0.28287461331378505
200000,200000,316227.7660168379,1.6243446872909595,0.,1.,324868.9374581919,0.,316227.7660168379,324868.9374581919,641096.7034750298,2.2278748465379104e6,0.,0.6156328812622734,0.07119482496194818,0.2877615430109488
200000,200000,398107.17055349733,1.7200913643373874,0.,1.,344018.2728674775,0.,398107.17055349733,344018.2728674775,742125.4434209748,2.5075743041979293e6,0.,0.5813644674538666,0.08140220700152201,0.2959535205710885
200000,200000,501187.23362727254,1.8843970649657775,0.,1.,376879.4129931555,0.,501187.23362727254,376879.4129931555,878066.646620428,2.852939220781779e6,0.,0.5306737197758058,0.0949771689497716,0.30777614897096023
200000,200000,630957.3444801933,1.9341340269678484,0.013361570690946113,1.,386826.8053935697,2672.3141381892224,630957.3444801933,389499.11953175894,1.0204564640119523e6,3.2685257237816993e6,0.006908296170091747,0.5170272515021646,0.2063641552511415,0.31220695513795116
200000,200000,794328.2347242814,2.086938120790789,0.,1.,417387.6241581578,0.,794328.2347242814,417387.6241581578,1.211715858882439e6,3.7920034583182437e6,0.,0.4791708915744358,0.10766742770167415,0.3195450300089747
200000,200000,1.e6,2.3531620377515385,0.7906797817693516,1.,470632.4075503077,158135.9563538703,1.e6,628768.363904178,1.6287683639041781e6,4.485028484384255e6,0.3360073675694901,0.4249601106753815,0.3063831811263318,0.3631567490764309
200000,200000,1.2589254117941675e6,2.7225141472720233,1.4740248417363124,1.,544502.8294544047,294804.9683472625,1.2589254117941675e6,839307.7978016671,2.098233209595835e6,5.212088110057345e6,0.5414204525670858,0.36730754953174677,0.35424277016742767,0.4025705562319724
200000,200000,1.5848931924611141e6,3.260451051970002,3.3826160239458765,1.,652090.2103940004,676523.2047891753,1.5848931924611141e6,1.3286134151831758e6,2.9135066076442897e6,5.980715564989601e6,1.03746873362876,0.30670603056463264,0.44534817351598166,0.4871501705748408
200000,200000,1.9952623149688807e6,3.7711282462974656,4.570009893641518,1.,754225.6492594931,914001.9787283036,1.9952623149688807e6,1.6682276279877967e6,3.6634899429566776e6,6.740846769134633e6,1.2118415485149314,0.2651726312892729,0.5070205479452055,0.5434762231551191
200000,200000,2.5118864315095823e6,4.334682430675073,7.646727926994829,1.,866936.4861350147,1.5293455853989657e6,2.5118864315095823e6,2.3962820715339803e6,4.908168503043562e6,7.398345205287401e6,1.7640803102163922,0.23069740770934916,0.6321632420091323,0.663414367247398
200000,200000,3.1622776601683795e6,5.206829330620457,10.81202611070277,1.,1.0413658661240914e6,2.1624052221405543e6,3.1622776601683795e6,3.203771088264646e6,6.366048748433026e6,8.030015056127029e6,2.076508643584518,0.19205545957098574,0.7677987062404871,0.7927816702629504
200000,200000,3.981071705534973e6,5.990789884501867,13.282100696044298,1.,1.1981579769003734e6,2.6564201392088593e6,3.981071705534973e6,3.8545781161092324e6,7.835649821644206e6,8.788000059846e6,2.217086720134352,0.16692289652604797,0.8759227549467276,0.891630606313573
